number of bedrooms,Avg_Price
8,1208454.5454545454
7,1016543.9
6,837581.4772727273
10,820000.0
9,776666.3333333334
5,773766.3988868274
33,640000.0
4,636198.8109652837
11,520000.0
3,463277.5592861464
2,398547.57212581346
1,308963.75
